ADM3_FR,ADM2_FR,ADM1_FR,shape_Leng,Shape_Area,ADM0_PCODE,Country,Latitude,Longitude,Population,Area,Total_bran,Total_ATMs,Total_geoc
Pirada,Pirada,Gabu,1.639369118730000,0.082303956951300,GW,guinee,12.663468000000000,-14.154730000000001,"29837",934.400,0.000000000000000,0.000000000000000,
Pitche,Pitche,Gabu,2.017498740590000,0.161887335461000,GW,guinee,12.326136999999999,-13.954993999999999,"45594",2021.400,0.000000000000000,0.000000000000000,
Prabis,Prabis,Biombo,0.546727841506000,0.013167309744400,GW,guinee,11.800534100000000,-15.740157500000000,"33024",213.000,0.000000000000000,0.000000000000000,
Quebo,Quebo,Tombali,1.625858558690000,0.085890013321700,GW,guinee,11.538875900000001,-14.767844400000000,"15372",960.400,0.000000000000000,0.000000000000000,
Quinhamel,Quinhamel,Biombo,1.095292656400000,0.037292541018100,GW,guinee,11.894183000000000,-15.851309000000001,"42659",451.000,0.000000000000000,0.000000000000000,
Safim,Safim,Biombo,0.484540158440000,0.014071903600500,GW,guinee,11.931922999999999,-15.615397000000000,"17356",174.800,2.000000000000000,0.000000000000000,"1"
Sao Domingos,Sao Domingos,Cacheu,1.677184706070000,0.089619185314700,GW,guinee,12.402654000000000,-16.196593000000000,"29116",1035.100,1.000000000000000,0.000000000000000,"1"
Sonaco,Sonaco,Gabu,1.948902605350000,0.066126041991600,GW,guinee,12.395168900000000,-14.483836100000000,"37804",783.600,0.000000000000000,0.000000000000000,
Xitole,Xitole,Bafata,1.518287978040000,0.101514098758000,GW,guinee,11.734944199999999,-14.814469700000000,"16928",1339.200,0.000000000000000,0.000000000000000,
Catio,Catio,Tombali,1.090901238550000,0.052721025101800,GW,guinee,11.283556799999999,-15.254715200000000,"26999",1021.100,0.000000000000000,0.000000000000000,
Komo,Komo,Tombali,0.641833133480000,0.017800160957100,GW,guinee,11.196410100000000,-15.333545200000000,"8777",1009.000,0.000000000000000,0.000000000000000,
Bafata,Bafata,Bafata,1.529929745650000,0.064873534261800,GW,guinee,12.255209600000001,-14.540810100000000,"83510",1344.500,4.000000000000000,0.000000000000000,"2"
